iter	Accuracy	Logloss
0	0.6217142436	0.6836047225
1	0.6218125092	0.6759813689
2	0.6235812902	0.6696600671
3	0.6243059991	0.6644140553
4	0.6237901047	0.6602869224
5	0.6241954503	0.6569113693
6	0.6249570088	0.653863926
7	0.6262590282	0.6513838424
8	0.626246745	0.6493009263
9	0.6262590282	0.6476453613
10	0.626983737	0.6462338446
11	0.6278067115	0.6445369643
12	0.6299439886	0.6431811662
13	0.6302879182	0.6420737463
14	0.6303124846	0.6411035726
15	0.6303124846	0.6401662694
16	0.6305581487	0.6394679602
17	0.6310003439	0.6388440901
18	0.6317004864	0.6381347904
19	0.6319952833	0.6376047354
20	0.6321426817	0.6368979597
21	0.6324251953	0.6363111606
22	0.633199037	0.6357613762
23	0.6338131971	0.6352754943
24	0.6343290915	0.634628699
25	0.6344027907	0.6341401202
26	0.6347098708	0.6337824788
27	0.6351889156	0.6334885833
28	0.6352626148	0.6331557812
29	0.6353117477	0.6329382293
30	0.6359996069	0.6324445854
31	0.6359381909	0.6321844121
32	0.6363926694	0.6318626057
33	0.6363312534	0.6316728195
34	0.6367857318	0.6314275774
35	0.6369331303	0.6311635882
36	0.6368717142	0.6308894105
37	0.6371542279	0.6304050509
38	0.6373753255	0.6301970908
39	0.6373016263	0.6300254257
40	0.6372279271	0.6297544413
41	0.6377192551	0.6295739078
42	0.6379035032	0.6293660014
43	0.638014052	0.6291559264
44	0.6381491672	0.6288978836
45	0.6380386184	0.6286047798
46	0.6385299464	0.6283597859
47	0.638566796	0.6281298917
48	0.6389230089	0.6278636429
49	0.6390212745	0.627669872
50	0.6394389034	0.6273703301
51	0.6393283545	0.6271275763
52	0.6394634698	0.6270187448
53	0.6397459834	0.6268157367
54	0.6402004618	0.6266094351
55	0.6403355771	0.6263997115
56	0.6411462684	0.6261640362
57	0.6411708348	0.626069393
58	0.6414533484	0.6257541963
59	0.6415147644	0.6255407036
60	0.6416990124	0.6254327328
61	0.6417235788	0.6252030993
62	0.6419815261	0.6249850417
63	0.6424114381	0.6248138309
64	0.6424360045	0.62474905
65	0.6424482877	0.6244909822
66	0.6424114381	0.6244244146
67	0.6423745885	0.6244051689
68	0.6424974205	0.6242670816
69	0.6425711197	0.6241153455
70	0.6428536334	0.6240245292
71	0.6429273326	0.6239173272
72	0.6431238638	0.6238298399
73	0.6433572446	0.6236040603
74	0.6437625903	0.6234175225
75	0.6437625903	0.6232782197
76	0.6439345551	0.6231493698
77	0.6440573871	0.6230504816
78	0.6440082543	0.6229692064
79	0.6438977055	0.6228460651
80	0.6441065199	0.6227242938
81	0.6441310863	0.6227022818
82	0.6439714047	0.6226288547
83	0.6441433695	0.6225438676
84	0.6442662015	0.6223510423
85	0.6441679359	0.6222878373
86	0.6444013168	0.622107322
87	0.6446715472	0.6220207955
88	0.6449294944	0.6219375568
89	0.6449417776	0.6218718757
90	0.6452611409	0.6217964091
91	0.6451505921	0.6217586648
92	0.6451383088	0.6216480634
93	0.6452857073	0.6214764277
94	0.6451260256	0.6213646028
95	0.6451874417	0.6213222375
96	0.6451260256	0.621246203
97	0.6452734241	0.621056256
98	0.6454576721	0.6209990264
99	0.6454576721	0.620934657
100	0.6453839729	0.6208562803
101	0.6453962561	0.6207787743
102	0.6456173537	0.6207266177
103	0.6458507345	0.6206880375
104	0.6457770353	0.6206001298
105	0.6459490001	0.620587988
106	0.6459490001	0.6205291691
107	0.6459490001	0.6204403151
108	0.6463174962	0.6203283396
109	0.646489461	0.6202818991
110	0.6466368594	0.6201225496
111	0.6468579571	0.620011692
112	0.6467596914	0.6199842858
113	0.6468579571	0.6199227352
114	0.6469439395	0.6198396942
115	0.6470913379	0.6197949883
116	0.6471650371	0.6196756452
117	0.6474229843	0.6195634518
118	0.6472755859	0.6195053991
119	0.6474844003	0.6194230143
120	0.6473738515	0.6192368958
121	0.6477546308	0.6190865082
122	0.6480248612	0.6189672511
123	0.64813541	0.6188064775
124	0.6482705252	0.6186444457
125	0.6485530389	0.6185081038
126	0.6485776053	0.6184054102
127	0.6490443669	0.6182938481
128	0.6492040485	0.6182074109
129	0.6490812165	0.6181082377
130	0.6489215349	0.6180276612
131	0.6489461013	0.6179112833
132	0.6489952341	0.6177770426
133	0.6489583845	0.6177058407
134	0.6493391638	0.6176331308
135	0.6493882966	0.6174354507
136	0.649474279	0.617351424
137	0.6498304918	0.6171793001
138	0.6499164742	0.6171422241
139	0.6501130055	0.6170283501
140	0.6502849703	0.6169571671
141	0.6501989879	0.6168741325
142	0.6502481207	0.6167474127
143	0.6504815015	0.616635659
144	0.6505306343	0.616560282
145	0.6507025991	0.6164630999
146	0.6507517319	0.6163511266
147	0.6508745639	0.6162421803
148	0.6508499975	0.6161467771
149	0.6511325112	0.6160637512
150	0.6512921928	0.615958688
151	0.6513904584	0.6159322292
152	0.6513536088	0.6158354235
153	0.6514150248	0.615760149
154	0.6513413256	0.6156888007
155	0.651488724	0.6155966039
156	0.6515378568	0.6155617001
157	0.6514150248	0.6155148185
158	0.6515992728	0.6154350058
159	0.6518326537	0.6153723389
160	0.6516975384	0.6152662226
161	0.6518326537	0.6151998897
162	0.6519554857	0.6151352355
163	0.6520046185	0.61505644
164	0.6521397337	0.614982901
165	0.6521520169	0.6149046281
166	0.6520906009	0.6148350072
167	0.6521151673	0.6147465916
168	0.6522011497	0.6146707696
169	0.6522994153	0.6145846616
170	0.6522379993	0.6145115881
171	0.6522502825	0.6144395631
172	0.6523362649	0.6143658013
173	0.6527170442	0.6143003465
174	0.6526310618	0.6142513569
175	0.6527170442	0.6141837118
176	0.652827593	0.6141469361
177	0.6530241242	0.6140861634
178	0.6530855402	0.6140106182
179	0.6530978234	0.6139815963
180	0.6530978234	0.6139118029
181	0.6533803371	0.6138190103
182	0.6534294699	0.6138001132
183	0.6534049035	0.6136971216
184	0.6534786027	0.6136037801
185	0.6535277355	0.6135824442
186	0.6537242667	0.6134966959
187	0.6538716651	0.6134440665
188	0.6539085147	0.6133670211
189	0.6539330811	0.6133177166
190	0.6542033116	0.6132112255
191	0.6541418955	0.6131389472
192	0.6541910283	0.6130831907
193	0.6541910283	0.6130659863
194	0.6542647276	0.6130111257
195	0.6544981084	0.6129799914
196	0.6544489756	0.6129490539
197	0.6541787451	0.6129104973
198	0.6543752764	0.6128453529
199	0.65435071	0.6127907291
200	0.6544366924	0.6127289774
201	0.6544612588	0.6126968222
202	0.654596374	0.6126289759
203	0.6548297548	0.6125405669
204	0.6548297548	0.6125370423
205	0.6549280204	0.6124854493
206	0.6550631357	0.6124210896
207	0.6551491181	0.6123494862
208	0.6551491181	0.6123272185
209	0.6552596669	0.6122692396
210	0.6552473837	0.6122309919
211	0.6551982509	0.6121883506
212	0.6550262861	0.6121113855
213	0.6551859677	0.6120427469
214	0.6553210829	0.6119133679
215	0.6554316317	0.6118755244
216	0.6556158797	0.6118135325
217	0.6559843758	0.6117215953
218	0.6560212254	0.6116839614
219	0.6560457918	0.611664606
220	0.6560089422	0.6116323508
221	0.6559843758	0.6115220045
222	0.6561317742	0.6114630735
223	0.6561072078	0.6114056016
224	0.6561317742	0.6113526894
225	0.6562791726	0.6112472381
226	0.656549403	0.6111798022
227	0.6566599518	0.6111290742
228	0.6567582175	0.6111128966
229	0.6568564831	0.611063001
230	0.6569056159	0.6110252579
