iter	Passed	Remaining
0	145	145764
1	308	153755
2	474	157761
3	634	158063
4	765	152333
5	960	159084
6	1120	158999
7	1277	158432
8	1450	159675
9	1603	158792
10	1763	158529
11	1912	157468
12	2082	158079
13	2235	157421
14	2378	156186
15	2534	155858
16	2685	155272
17	2862	156166
18	3012	155547
19	3184	156030
20	3408	158887
21	3582	159259
22	3739	158860
23	3896	158454
24	4039	157531
25	4211	157753
26	4380	157872
27	4543	157709
28	4712	157798
29	4871	157520
30	5044	157695
31	5201	157358
32	5378	157593
33	5531	157168
34	5696	157068
35	5857	156839
36	6028	156907
37	6199	156949
38	6358	156668
39	6520	156482
40	6669	156007
41	6841	156043
42	7002	155840
43	7175	155893
44	7329	155550
45	7494	155427
46	7651	155146
47	7822	155138
48	7970	154686
49	8126	154412
50	8282	154116
51	8441	153891
52	8622	154069
53	8816	154448
54	8969	154108
55	9128	153872
56	9314	154093
57	9484	154033
58	9676	154332
59	9841	154179
60	10008	154071
61	10171	153889
62	10328	153620
63	10495	153491
64	10652	153237
65	10804	152901
66	10962	152651
67	11019	151033
68	11177	150814
69	11348	150779
70	11497	150433
71	11639	150025
72	11803	149886
73	11967	149751
74	12121	149501
75	12287	149390
76	12443	149163
77	12594	148871
78	12744	148577
79	12889	148224
80	13035	147895
81	13194	147710
82	13349	147484
83	13508	147310
84	13656	147003
85	13829	146979
86	14002	146949
87	14166	146814
88	14326	146648
89	14477	146380
90	14636	146203
91	14798	146058
92	14958	145887
93	15120	145735
94	15273	145498
95	15426	145267
96	15586	145100
97	15732	144801
98	15883	144558
99	16039	144354
100	16201	144206
101	16357	144006
102	16510	143784
103	16663	143565
104	16815	143331
105	16883	142392
106	17049	142288
107	17218	142212
108	17377	142048
109	17526	141804
110	17684	141633
111	17817	141266
112	17962	140993
113	18097	140654
114	18248	140437
115	18406	140269
116	18585	140268
117	18770	140301
118	18902	139940
119	19061	139781
120	19237	139748
121	19486	140237
122	19652	140126
123	19810	139951
124	19960	139724
125	20104	139454
126	20245	139170
127	20380	138841
128	20538	138675
129	20683	138422
130	20838	138235
131	20987	138011
132	21136	137785
133	21295	137627
134	21433	137331
135	21581	137103
136	21735	136919
137	21887	136714
138	22010	136339
139	22148	136055
140	22289	135792
141	22440	135591
142	22590	135386
143	22732	135132
144	22882	134928
145	23046	134803
146	23192	134580
147	23339	134361
148	23495	134189
149	23641	133970
150	23802	133828
151	23943	133580
152	24095	133393
153	24238	133152
154	24380	132914
155	24567	132918
156	24820	133270
157	24971	133077
158	25141	132983
159	25297	132812
160	25442	132587
161	25598	132417
162	25750	132226
163	25898	132018
164	26048	131823
165	26190	131584
166	26340	131389
167	26491	131197
168	26654	131065
169	26804	130870
170	26956	130682
171	27103	130472
172	27246	130246
173	27390	130026
174	27520	129740
175	27698	129677
176	27854	129515
177	27995	129284
178	28150	129113
179	28290	128879
180	28460	128778
181	28603	128558
182	28725	128245
183	28868	128025
184	29007	127788
185	29163	127627
186	29311	127433
187	29454	127218
188	29595	126994
189	29756	126857
190	29899	126644
191	30051	126467
192	30221	126368
193	30382	126226
194	30535	126056
195	30685	125873
196	30823	125639
197	30964	125423
198	31113	125237
199	31256	125025
200	31406	124845
201	31564	124693
202	31723	124548
203	31861	124322
204	32013	124151
205	32156	123943
206	32310	123776
207	32465	123620
208	32603	123394
209	32773	123291
210	32914	123078
211	33058	122877
212	33203	122681
213	33344	122469
214	33494	122294
215	33637	122090
216	33784	121906
217	33921	121681
218	34073	121514
219	34216	121313
220	34366	121138
221	34497	120897
222	34645	120715
223	34811	120598
224	34953	120396
225	35097	120200
226	35239	119999
227	35398	119859
228	35539	119655
229	35696	119505
230	35853	119357
231	35993	119152
232	36137	118959
233	36291	118801
234	36463	118701
235	36603	118495
236	36761	118349
237	36909	118171
238	37055	117988
239	37264	118004
240	37408	117812
241	37557	117639
242	37709	117472
243	37854	117285
244	38022	117171
245	38179	117021
246	38320	116822
247	38476	116670
248	38627	116502
249	38784	116353
250	38928	116164
251	39073	115978
252	39211	115773
253	39358	115597
254	39508	115427
255	39651	115236
256	39807	115086
257	39955	114910
258	40118	114780
259	40267	114607
260	40443	114511
261	40582	114312
262	40755	114209
263	40910	114053
264	41066	113900
265	41213	113724
266	41353	113529
267	41507	113370
268	41641	113160
269	41797	113007
270	41943	112829
271	42094	112663
272	42241	112488
273	42392	112325
274	42538	112147
275	42695	111997
276	42840	111817
277	42987	111644
278	43135	111471
279	43277	111285
280	43431	111128
281	43585	110971
282	43732	110798
283	43875	110615
284	44022	110441
285	44167	110263
286	44315	110093
287	44474	109951
288	44614	109760
289	44767	109602
290	44919	109441
291	45072	109286
292	45214	109101
293	45362	108930
294	45510	108762
295	45657	108590
296	45799	108406
297	45953	108252
298	46154	108207
299	46316	108071
300	46478	107934
301	46633	107782
302	46795	107646
303	46958	107510
304	47130	107396
305	47286	107243
306	47431	107068
307	47573	106885
308	47715	106703
309	47871	106551
310	48021	106389
311	48156	106192
312	48295	106003
313	48436	105819
314	48584	105651
315	48738	105498
316	48889	105336
317	49032	105157
318	49160	104947
319	49301	104765
320	49452	104605
321	49601	104439
322	49751	104278
323	49900	104113
324	50047	103944
325	50193	103773
326	50341	103607
327	50486	103435
328	50633	103267
329	50778	103095
330	50928	102934
331	51091	102798
332	51245	102644
333	51397	102487
334	51566	102362
335	51720	102209
336	51871	102050
337	52030	101906
338	52175	101733
339	52326	101575
340	52495	101450
341	52634	101268
342	52785	101108
343	52935	100947
344	53094	100801
345	53239	100632
346	53391	100474
347	53535	100302
348	53686	100142
349	53834	99978
350	53981	99811
351	54128	99646
352	54285	99497
353	54440	99345
354	54585	99177
355	54731	99008
356	54903	98887
357	55042	98706
358	55195	98552
359	55343	98388
360	55491	98224
361	55632	98048
362	55793	97906
363	55934	97731
364	56078	97561
365	56217	97381
366	56381	97246
367	56542	97105
368	56706	96969
369	56879	96848
370	57032	96694
371	57190	96546
372	57335	96378
373	57481	96211
374	57624	96041
375	57767	95869
376	57911	95699
377	58062	95541
378	58202	95366
379	58352	95207
380	58501	95046
381	58655	94892
382	58808	94739
383	58953	94570
384	59100	94406
385	59235	94224
386	59382	94060
387	59527	93894
388	59676	93732
389	59836	93590
390	59980	93422
391	60127	93259
392	60271	93091
393	60433	92951
394	60612	92836
395	60756	92668
396	60905	92508
397	61053	92347
398	61198	92180
399	61333	92000
400	61486	91845
401	61632	91682
402	61781	91522
403	61936	91371
404	62077	91200
405	62258	91086
406	62426	90955
407	62584	90808
408	62758	90685
409	62883	90490
410	63033	90332
411	63185	90176
412	63317	89993
413	63470	89840
414	63623	89685
415	63770	89523
416	63926	89375
417	64077	89218
418	64227	89060
419	64387	88916
420	64536	88757
421	64689	88603
422	64850	88460
423	65001	88303
424	65148	88141
425	65290	87973
426	65428	87799
427	65576	87639
428	65721	87475
429	65868	87313
430	66003	87136
431	66156	86983
432	66309	86830
433	66463	86677
434	66610	86517
435	66755	86353
436	66909	86201
437	67062	86048
438	67207	85884
439	67352	85721
440	67563	85641
441	67729	85504
442	67874	85340
443	68022	85181
444	68170	85022
445	68324	84868
446	68494	84737
447	68658	84597
448	68789	84416
449	68941	84261
450	69090	84103
451	69241	83947
452	69393	83792
453	69544	83637
454	69691	83476
455	69842	83321
456	69993	83165
457	70140	83004
458	70286	82843
459	70434	82683
460	70605	82551
461	70761	82402
462	70916	82250
463	71092	82123
464	71282	82012
465	71440	81865
466	71582	81698
467	71730	81540
468	71897	81402
469	72052	81250
470	72193	81083
471	72330	80912
472	72479	80754
473	72636	80605
474	72804	80468
475	73105	80477
476	73249	80313
477	73407	80164
478	73547	79996
479	73700	79842
480	73855	79690
481	74016	79544
482	74154	79374
483	74308	79220
484	74449	79054
485	74594	78891
486	74738	78728
487	74887	78570
488	75040	78416
489	75183	78251
490	75325	78086
491	75470	77925
492	75633	77781
493	75787	77628
494	75973	77507
495	76111	77339
496	76274	77195
497	76423	77036
498	76593	76900
499	76745	76745
500	76886	76579
501	77034	76420
502	77173	76253
503	77326	76099
504	77465	75931
505	77645	75803
506	77793	75645
507	77937	75482
508	78100	75338
509	78331	75260
510	78487	75108
511	78648	74961
512	78824	74829
513	78969	74667
514	79117	74508
515	79276	74359
516	79453	74228
517	79603	74071
518	79739	73901
519	79895	73749
520	80048	73595
521	80200	73439
522	80382	73312
523	80544	73166
524	80687	73003
525	80846	72853
526	81000	72700
527	81150	72543
528	81303	72389
529	81455	72234
530	81614	72085
531	81751	71916
532	81900	71759
533	82047	71599
534	82195	71441
535	82365	71301
536	82517	71146
537	82665	70987
538	82804	70821
539	82950	70661
540	83097	70502
541	83242	70341
542	83394	70186
543	83628	70100
544	83800	69961
545	83955	69808
546	84104	69651
547	84267	69505
548	84414	69345
549	84569	69193
550	84737	69050
551	84897	68902
552	85052	68749
553	85208	68597
554	85357	68439
555	85504	68280
556	85651	68121
557	85797	67961
558	85943	67801
559	86093	67645
560	86240	67485
561	86396	67333
562	86556	67185
563	86699	67022
564	86841	66860
565	86991	66703
566	87137	66543
567	87287	66387
568	87429	66225
569	87575	66065
570	87736	65917
571	87880	65756
572	88038	65606
573	88186	65448
574	88350	65302
575	88497	65143
576	88651	64990
577	88805	64837
578	88979	64698
579	89132	64544
580	89292	64395
581	89435	64233
582	89588	64079
583	89735	63920
584	89882	63762
585	90025	63601
586	90166	63439
587	90319	63285
588	90483	63138
589	90633	62982
590	90781	62824
591	90924	62664
592	91069	62504
593	91204	62338
594	91359	62185
595	91522	62038
596	91662	61876
597	91808	61717
598	91955	61559
599	92096	61397
600	92246	61241
601	92394	61084
602	92557	60937
603	92706	60781
604	92851	60621
605	93001	60466
606	93153	60311
607	93281	60141
608	93427	59983
609	93578	59828
610	93730	59674
611	93877	59517
612	94026	59361
613	94172	59202
614	94359	59070
615	94514	58917
616	94696	58782
617	94852	58630
618	95002	58475
619	95184	58338
620	95335	58183
621	95474	58021
622	95628	57868
623	95775	57710
624	95925	57555
625	96074	57398
626	96239	57252
627	96387	57095
628	96541	56942
629	96677	56778
630	96818	56618
631	96971	56464
632	97130	56314
633	97279	56158
634	97423	55999
635	97573	55844
636	97721	55687
637	97873	55533
638	98022	55377
639	98169	55220
640	98317	55063
641	98487	54920
642	98638	54765
643	98781	54606
644	98934	54452
645	99064	54286
646	99213	54130
647	99362	53974
648	99512	53819
649	99692	53680
650	99864	53537
651	100009	53379
652	100159	53224
653	100315	53072
654	100470	52919
655	100621	52765
656	100769	52608
657	100917	52452
658	101062	52295
659	101211	52139
660	101355	51981
661	101517	51831
662	101668	51677
663	101819	51523
664	101973	51369
665	102126	51216
666	102277	51062
667	102416	50901
668	102574	50750
669	102727	50597
670	102878	50442
671	103015	50281
672	103152	50120
673	103297	49962
674	103443	49806
675	103601	49655
676	103747	49498
677	103898	49344
678	104052	49191
679	104205	49037
680	104356	48883
681	104518	48734
682	104669	48580
683	104818	48424
684	105025	48296
685	105164	48136
686	105319	47983
687	105476	47832
688	105629	47679
689	105775	47522
690	105920	47365
691	106070	47210
692	106214	47053
693	106362	46897
694	106504	46739
695	106653	46584
696	106792	46424
697	106945	46271
698	107084	46112
699	107236	45958
700	107361	45793
701	107517	45641
702	107674	45489
703	107816	45331
704	107976	45181
705	108124	45026
706	108308	44885
707	108461	44732
708	108619	44581
709	108777	44430
710	108932	44277
711	109081	44122
712	109246	43974
713	109406	43823
714	109557	43669
715	109698	43511
716	109842	43354
717	109988	43199
718	110129	43040
719	110330	42906
720	110493	42756
721	110632	42597
722	110768	42438
723	110919	42284
724	111065	42128
725	111215	41974
726	111390	41828
727	111533	41672
728	111662	41509
729	111803	41352
730	111950	41196
731	112100	41042
732	112258	40890
733	112444	40749
734	112630	40608
735	112798	40460
736	112956	40308
737	113222	40195
738	113468	40074
739	113631	39924
740	113789	39772
741	113942	39618
742	114109	39469
743	114309	39332
744	114523	39199
745	114707	39055
746	114876	38907
747	115045	38758
748	115202	38606
749	115369	38456
750	115527	38304
751	115717	38162
752	115860	38004
753	116008	37849
754	116172	37698
755	116341	37549
756	116538	37409
757	116680	37251
758	116821	37093
759	116964	36936
760	117105	36778
761	117256	36623
762	117402	36467
763	117551	36311
764	117709	36159
765	117854	36002
766	118001	35846
767	118159	35693
768	118307	35538
769	118457	35383
770	118604	35227
771	118751	35071
772	118908	34918
773	119062	34764
774	119213	34610
775	119373	34458
776	119538	34307
777	119715	34160
778	119894	34013
779	120029	33854
780	120193	33703
781	120367	33555
782	120533	33404
783	120684	33249
784	120841	33096
785	121012	32947
786	121168	32794
787	121326	32641
788	121490	32489
789	121648	32336
790	121799	32182
791	121941	32024
792	122103	31873
793	122257	31719
794	122408	31564
795	122562	31410
796	122710	31255
797	122861	31100
798	123009	30944
799	123170	30792
800	123324	30638
801	123475	30483
802	123640	30332
803	123791	30178
804	123933	30021
805	124100	29870
806	124254	29716
807	124409	29562
808	124556	29407
809	124704	29251
810	124853	29096
811	124995	28939
812	125135	28782
813	125297	28630
814	125459	28478
815	125626	28327
816	125792	28176
817	125933	28019
818	126087	27865
819	126246	27712
820	126462	27572
821	126610	27416
822	126782	27266
823	126960	27117
824	127110	26962
825	127261	26808
826	127420	26655
827	127569	26499
828	127723	26345
829	127867	26189
830	128004	26032
831	128157	25877
832	128320	25725
833	128484	25573
834	128672	25426
835	128824	25271
836	128979	25117
837	129135	24964
838	129288	24809
839	129449	24656
840	129627	24507
841	129798	24356
842	129940	24199
843	130105	24047
844	130263	23894
845	130421	23741
846	130570	23585
847	130714	23430
848	130863	23274
849	131010	23119
850	131165	22965
851	131318	22811
852	131469	22656
853	131613	22500
854	131811	22354
855	131960	22198
856	132112	22044
857	132250	21887
858	132406	21733
859	132588	21584
860	132749	21431
861	132898	21276
862	133052	21121
863	133214	20968
864	133372	20815
865	133523	20660
866	133674	20506
867	133826	20351
868	133968	20195
869	134123	20041
870	134268	19885
871	134429	19732
872	134582	19578
873	134727	19422
874	134874	19267
875	135025	19113
876	135180	18959
877	135323	18803
878	135475	18649
879	135617	18493
880	135769	18338
881	135918	18184
882	136075	18030
883	136232	17876
884	136384	17722
885	136533	17567
886	136673	17411
887	136822	17256
888	136976	17102
889	137188	16955
890	137343	16801
891	137490	16646
892	137639	16492
893	137783	16336
894	137930	16181
895	138075	16026
896	138224	15871
897	138387	15718
898	138531	15563
899	138672	15408
900	138813	15252
901	138967	15098
902	139117	14943
903	139261	14788
904	139419	14635
905	139567	14480
906	139719	14326
907	139858	14170
908	140001	14015
909	140174	13863
910	140327	13709
911	140474	13554
912	140619	13399
913	140794	13247
914	140947	13093
915	141115	12940
916	141262	12786
917	141412	12631
918	141555	12476
919	141710	12322
920	141857	12168
921	141977	12011
922	142128	11856
923	142277	11702
924	142486	11552
925	142639	11398
926	142791	11244
927	142933	11089
928	143101	10936
929	143252	10782
930	143420	10629
931	143570	10475
932	143720	10320
933	143870	10166
934	144021	10012
935	144199	9859
936	144366	9706
937	144525	9552
938	144674	9398
939	144826	9244
940	144968	9089
941	145113	8934
942	145253	8779
943	145419	8626
944	145556	8471
945	145712	8317
946	145866	8163
947	146008	8008
948	146172	7855
949	146331	7701
950	146490	7547
951	146636	7393
952	146774	7238
953	146915	7083
954	147063	6929
955	147224	6776
956	147377	6621
957	147537	6468
958	147679	6313
959	147864	6161
960	148016	6006
961	148179	5853
962	148322	5698
963	148476	5544
964	148626	5390
965	148769	5236
966	148918	5082
967	149066	4927
968	149209	4773
969	149351	4619
970	149494	4464
971	149648	4310
972	149796	4156
973	149941	4002
974	150096	3848
975	150225	3694
976	150374	3540
977	150522	3385
978	150670	3231
979	150820	3077
980	150966	2923
981	151125	2770
982	151270	2616
983	151416	2462
984	151567	2308
985	151709	2154
986	151841	1999
987	151983	1845
988	152142	1692
989	152295	1538
990	152452	1384
991	152592	1230
992	152747	1076
993	152891	922
994	153038	769
995	153263	615
996	153437	461
997	153598	307
998	153826	153
999	154044	0
